epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3048,1.25453,2.07462,1.53936,0.47338,0.63027,0.5754,0.3718,1.2427,2.62977,1.84591,0.0803053,0.000198936,0.000198936
2,154.554,1.18888,1.45813,1.43883,0.57992,0.79754,0.76844,0.4911,1.26682,1.61879,1.81312,0.0605014,0.000394987,0.000394987
3,228.342,1.16853,1.33822,1.41371,0.69857,0.53916,0.67898,0.40325,1.21999,1.84695,1.81889,0.0406935,0.000587077,0.000587077
4,301.527,1.13566,1.29229,1.38001,0.736,0.74829,0.79782,0.53519,1.20633,1.58692,1.69689,0.0208816,0.000775208,0.000775208
5,374.92,1.13085,1.18099,1.35834,0.60614,0.78517,0.80674,0.53486,1.15462,1.32954,1.65941,0.00106576,0.000959378,0.000959378
6,448.086,1.09033,1.13366,1.34118,0.76716,0.83399,0.8429,0.58133,1.16712,1.10258,1.81255,0.0009505,0.0009505,0.0009505
7,521.344,1.08644,1.09123,1.32043,0.78139,0.74024,0.85335,0.56182,1.21998,1.05489,1.72879,0.0009406,0.0009406,0.0009406
8,594.34,1.00885,0.97143,1.27985,0.85378,0.88455,0.93276,0.66022,1.1223,0.84967,1.67233,0.0009307,0.0009307,0.0009307
9,667.584,1.01696,0.91813,1.27458,0.91419,0.86614,0.9386,0.6121,1.25011,0.95251,1.84003,0.0009208,0.0009208,0.0009208
10,740.528,0.98552,0.89992,1.24284,0.90409,0.91079,0.94942,0.64432,1.13731,0.80534,1.71664,0.0009109,0.0009109,0.0009109
11,813.47,0.9533,0.87626,1.23415,0.93987,0.82261,0.96623,0.66105,1.15787,0.80776,1.69856,0.000901,0.000901,0.000901
12,886.593,0.92993,0.83581,1.21744,0.82022,0.82603,0.90309,0.56469,1.34689,0.95292,1.8014,0.0008911,0.0008911,0.0008911
13,959.522,0.95353,0.83951,1.22718,0.92796,0.96457,0.9764,0.67955,1.1546,0.6669,1.71046,0.0008812,0.0008812,0.0008812
14,1032.7,0.90876,0.81465,1.20966,0.94661,0.91039,0.96209,0.57701,1.44058,0.78402,2.03528,0.0008713,0.0008713,0.0008713
15,1105.55,0.92152,0.80496,1.20104,0.9494,0.93789,0.97527,0.64571,1.21924,0.66036,1.69738,0.0008614,0.0008614,0.0008614
